 Date__(UT)__HR:MN, , , R.A._(HH MM SS), DEC__(° ' ''),
 2018-Jan-01 00:00, , , 14 46 58.07, -15 09 25.8,
 2018-Jan-06 00:00, , , 14 59 18.71, -16 05 26.8,
 2018-Jan-11 00:00, , , 15 11 44.74, -16 58 42.1,
 2018-Jan-16 00:00, , , 15 24 15.75, -17 49 01.5,
 2018-Jan-21 00:00, , , 15 36 51.25, -18 36 15.1,
 2018-Jan-26 00:00, , , 15 49 30.75, -19 20 14.5,
 2018-Jan-31 00:00, , , 16 02 13.92, -20 00 52.9,
 2018-Feb-05 00:00, , , 16 15 00.46, -20 38 05.2,
 2018-Feb-10 00:00, , , 16 27 49.57, -21 11 46.4,
 2018-Feb-15 00:00, , , 16 40 40.13, -21 41 52.0,
 2018-Feb-20 00:00, , , 16 53 30.89, -22 08 18.6,
 2018-Feb-25 00:00, , , 17 06 20.76, -22 31 05.3,
 2018-Mar-02 00:00, , , 17 19 08.85, -22 50 13.3,
 2018-Mar-07 00:00, , , 17 31 54.19, -23 05 45.7,
 2018-Mar-12 00:00, , , 17 44 35.24, -23 17 46.8,
 2018-Mar-17 00:00, , , 17 57 10.18, -23 26 22.1,
 2018-Mar-22 00:00, , , 18 09 37.18, -23 31 39.7,
 2018-Mar-27 00:00, , , 18 21 54.68, -23 33 49.9,
 2018-Apr-01 00:00, , , 18 34 01.46, -23 33 05.5,
 2018-Apr-06 00:00, , , 18 45 55.92, -23 29 41.5,
 2018-Apr-11 00:00, , , 18 57 35.87, -23 23 54.9,
 2018-Apr-16 00:00, , , 19 08 58.81, -23 16 05.5,
 2018-Apr-21 00:00, , , 19 20 02.28, -23 06 35.1,
 2018-Apr-26 00:00, , , 19 30 44.28, -22 55 47.9,
 2018-May-01 00:00, , , 19 41 02.89, -22 44 10.2,
 2018-May-06 00:00, , , 19 50 55.39, -22 32 11.8,
 2018-May-11 00:00, , , 20 00 18.23, -22 20 25.4,
 2018-May-16 00:00, , , 20 09 07.37, -22 09 26.5,
 2018-May-21 00:00, , , 20 17 18.85, -21 59 52.2,
 2018-May-26 00:00, , , 20 24 49.17, -21 52 19.4,
 2018-May-31 00:00, , , 20 31 34.26, -21 47 26.9,
 2018-Jun-05 00:00, , , 20 37 28.78, -21 45 55.2,
 2018-Jun-10 00:00, , , 20 42 26.43, -21 48 24.2,
 2018-Jun-15 00:00, , , 20 46 20.67, -21 55 28.9,
 2018-Jun-20 00:00, , , 20 49 06.13, -22 07 32.7,
 2018-Jun-25 00:00, , , 20 50 38.87, -22 24 44.6,
 2018-Jun-30 00:00, , , 20 50 55.28, -22 46 58.7,
 2018-Jul-05 00:00, , , 20 49 52.75, -23 13 48.2,
 2018-Jul-10 00:00, , , 20 47 31.44, -23 44 18.4,
 2018-Jul-15 00:00, , , 20 43 56.69, -24 17 01.3,
 2018-Jul-20 00:00, , , 20 39 21.03, -24 50 00.0,
 2018-Jul-25 00:00, , , 20 34 02.32, -25 21 07.4,
 2018-Jul-30 00:00, , , 20 28 21.40, -25 48 23.2,
 2018-Aug-04 00:00, , , 20 22 41.23, -26 10 05.6,
 2018-Aug-09 00:00, , , 20 17 25.75, -26 25 00.4,
 2018-Aug-14 00:00, , , 20 12 58.50, -26 32 26.9,
 2018-Aug-19 00:00, , , 20 09 39.30, -26 32 21.1,
 2018-Aug-24 00:00, , , 20 07 40.41, -26 25 08.6,
 2018-Aug-29 00:00, , , 20 07 07.20, -26 11 27.9,
 2018-Sep-03 00:00, , , 20 08 00.30, -25 51 58.4,
 2018-Sep-08 00:00, , , 20 10 17.66, -25 27 14.1,
 2018-Sep-13 00:00, , , 20 13 55.75, -24 57 42.0,
 2018-Sep-18 00:00, , , 20 18 48.55, -24 23 45.0,
 2018-Sep-23 00:00, , , 20 24 47.91, -23 45 41.2,
 2018-Sep-28 00:00, , , 20 31 45.28, -23 03 42.8,
 2018-Oct-03 00:00, , , 20 39 32.89, -22 17 57.5,
 2018-Oct-08 00:00, , , 20 48 04.42, -21 28 29.6,
 2018-Oct-13 00:00, , , 20 57 14.34, -20 35 22.5,
 2018-Oct-18 00:00, , , 21 06 56.85, -19 38 42.0,
 2018-Oct-23 00:00, , , 21 17 06.18, -18 38 36.2,
 2018-Oct-28 00:00, , , 21 27 37.29, -17 35 14.1,
 2018-Nov-02 00:00, , , 21 38 26.29, -16 28 44.9,
 2018-Nov-07 00:00, , , 21 49 30.51, -15 19 16.7,
 2018-Nov-12 00:00, , , 22 00 47.61, -14 06 59.6,
 2018-Nov-17 00:00, , , 22 12 15.05, -12 52 06.7,
 2018-Nov-22 00:00, , , 22 23 50.44, -11 34 53.4,
 2018-Nov-27 00:00, , , 22 35 31.91, -10 15 36.3,
 2018-Dec-02 00:00, , , 22 47 18.42, -08 54 30.4,
 2018-Dec-07 00:00, , , 22 59 09.58, -07 31 49.3,
 2018-Dec-12 00:00, , , 23 11 04.90, -06 07 47.7,
 2018-Dec-17 00:00, , , 23 23 03.72, -04 42 43.0,
 2018-Dec-22 00:00, , , 23 35 05.42, -03 16 53.6,
 2018-Dec-27 00:00, , , 23 47 09.69, -01 50 37.8,
 2019-Jan-01 00:00, , , 23 59 16.81, -00 24 11.3,
 2019-Jan-06 00:00, , , 00 11 27.30, +01 02 11.4,
 2019-Jan-11 00:00, , , 00 23 41.43, +02 28 14.5,
 2019-Jan-16 00:00, , , 00 35 59.28, +03 53 40.9,
 2019-Jan-21 00:00, , , 00 48 20.89, +05 18 12.5,
 2019-Jan-26 00:00, , , 01 00 46.53, +06 41 32.2,
 2019-Jan-31 00:00, , , 01 13 16.91, +08 03 25.6,
 2019-Feb-05 00:00, , , 01 25 52.67, +09 23 39.0,
 2019-Feb-10 00:00, , , 01 38 34.17, +10 41 57.1,
 2019-Feb-15 00:00, , , 01 51 21.57, +11 58 04.2,
 2019-Feb-20 00:00, , , 02 04 14.96, +13 11 43.7,
 2019-Feb-25 00:00, , , 02 17 14.62, +14 22 40.8,
 2019-Mar-02 00:00, , , 02 30 21.05, +15 30 43.0,
 2019-Mar-07 00:00, , , 02 43 34.58, +16 35 37.6,
 2019-Mar-12 00:00, , , 02 56 55.24, +17 37 11.5,
 2019-Mar-17 00:00, , , 03 10 22.79, +18 35 11.1,
 2019-Mar-22 00:00, , , 03 23 56.90, +19 29 23.1,
 2019-Mar-27 00:00, , , 03 37 37.46, +20 19 36.3,
 2019-Apr-01 00:00, , , 03 51 24.41, +21 05 41.3,
 2019-Apr-06 00:00, , , 04 05 17.42, +21 47 29.1,
 2019-Apr-11 00:00, , , 04 19 15.89, +22 24 50.7,
 2019-Apr-16 00:00, , , 04 33 18.95, +22 57 37.5,
 2019-Apr-21 00:00, , , 04 47 25.71, +23 25 42.5,
 2019-Apr-26 00:00, , , 05 01 35.51, +23 49 00.7,
 2019-May-01 00:00, , , 05 15 47.69, +24 07 28.7,
 2019-May-06 00:00, , , 05 30 01.37, +24 21 04.0,
